iter	Passed	Remaining
298	932	2186
299	939	2191
300	942	2189
301	945	2185
302	948	2181
303	952	2180
304	955	2176
305	958	2172
306	960	2168
307	963	2164
308	966	2161
309	969	2158
310	972	2154
311	975	2150
312	977	2146
313	980	2142
314	984	2140
315	987	2136
316	989	2132
317	992	2128
318	995	2124
319	999	2124
320	1002	2120
321	1005	2116
322	1007	2112
323	1010	2108
324	1015	2108
325	1018	2106
326	1021	2102
327	1024	2099
328	1028	2096
329	1031	2094
330	1034	2090
331	1037	2086
332	1040	2083
333	1043	2080
334	1046	2077
335	1049	2074
336	1052	2070
337	1054	2066
338	1057	2062
339	1062	2061
340	1064	2057
341	1068	2055
342	1071	2051
343	1073	2048
344	1077	2045
345	1080	2041
346	1083	2038
347	1085	2034
348	1088	2030
349	1093	2030
350	1096	2027
351	1099	2023
352	1101	2019
353	1104	2015
354	1108	2014
355	1111	2010
356	1114	2007
357	1117	2003
358	1119	1999
359	1124	1999
360	1127	1995
361	1130	1992
362	1132	1988
363	1135	1984
364	1140	1983
365	1142	1979
366	1146	1976
367	1149	1973
368	1156	1976
369	1159	1974
370	1162	1970
371	1164	1966
372	1170	1967
373	1174	1965
374	1176	1961
375	1179	1957
376	1183	1955
377	1187	1953
378	1191	1952
379	1194	1949
380	1197	1945
381	1201	1943
382	1207	1944
383	1210	1942
384	1214	1939
385	1218	1939
386	1222	1935
387	1225	1932
388	1227	1928
389	1232	1927
390	1235	1924
391	1238	1921
392	1241	1917
393	1244	1914
394	1249	1913
395	1251	1909
396	1254	1906
397	1257	1902
398	1261	1900
399	1265	1897
400	1267	1894
401	1270	1890
402	1273	1886
403	1277	1885
404	1280	1881
405	1283	1878
406	1286	1874
407	1289	1870
408	1293	1869
409	1296	1865
410	1299	1862
411	1302	1858
412	1305	1855
413	1309	1853
414	1312	1850
415	1315	1846
416	1320	1846
417	1326	1847
418	1330	1845
419	1333	1841
420	1336	1838
421	1342	1839
422	1345	1835
423	1348	1831
424	1352	1829
425	1357	1829
426	1360	1825
427	1363	1821
428	1367	1820
429	1372	1819
430	1377	1818
431	1383	1819
432	1389	1818
433	1391	1814
434	1394	1810
435	1397	1807
436	1400	1804
437	1403	1800
438	1406	1797
439	1409	1793
440	1415	1794
441	1418	1790
442	1421	1786
443	1423	1782
444	1428	1781
445	1431	1778
446	1434	1774
447	1436	1770
448	1440	1767
449	1443	1764
450	1447	1761
451	1450	1758
452	1452	1754
453	1456	1751
454	1461	1750
455	1464	1746
456	1467	1743
457	1470	1740
458	1475	1739
459	1479	1736
460	1481	1732
461	1485	1729
462	1488	1726
463	1496	1728
464	1500	1726
465	1510	1731
466	1514	1728
467	1517	1724
468	1520	1721
469	1524	1718
470	1528	1717
471	1532	1713
472	1534	1709
473	1538	1707
474	1542	1704
475	1544	1700
476	1547	1696
477	1550	1692
478	1554	1690
479	1557	1687
480	1560	1683
481	1562	1679
482	1565	1675
483	1568	1672
484	1572	1669
485	1575	1665
486	1577	1661
487	1580	1657
488	1586	1657
489	1589	1654
490	1591	1650
491	1595	1646
492	1597	1643
493	1602	1641
494	1605	1637
495	1608	1634
496	1610	1630
497	1615	1628
498	1619	1626
499	1622	1622
500	1625	1618
501	1630	1617
502	1633	1614
503	1636	1610
504	1639	1606
505	1641	1602
506	1645	1599
507	1648	1596
508	1653	1594
509	1656	1591
510	1659	1587
511	1663	1585
512	1665	1581
513	1669	1578
514	1671	1574
515	1677	1573
516	1679	1569
517	1682	1565
518	1685	1562
519	1688	1558
520	1692	1556
521	1696	1553
522	1700	1550
523	1702	1546
524	1707	1544
525	1711	1542
526	1714	1538
527	1716	1534
528	1720	1531
529	1724	1528
530	1726	1525
531	1729	1521
532	1732	1517
533	1735	1514
534	1738	1511
535	1742	1508
536	1745	1504
537	1748	1501
538	1750	1497
539	1755	1495
540	1760	1493
541	1765	1491
542	1770	1490
543	1774	1487
544	1777	1483
545	1780	1480
546	1784	1477
547	1788	1474
548	1791	1471
549	1794	1468
550	1797	1464
551	1801	1462
552	1804	1458
553	1807	1455
554	1810	1451
555	1812	1447
556	1817	1445
557	1820	1441
558	1823	1438
559	1826	1435
560	1828	1431
561	1833	1428
562	1836	1425
563	1839	1421
564	1842	1418
565	1846	1415
566	1849	1412
567	1853	1409
568	1856	1406
569	1859	1402
570	1863	1399
571	1869	1399
572	1872	1395
573	1875	1391
574	1879	1389
575	1883	1386
576	1887	1383
577	1889	1379
578	1893	1376
579	1897	1373
580	1900	1370
581	1903	1366
582	1906	1363
583	1912	1362
584	1916	1359
585	1918	1355
586	1921	1352
587	1926	1349
588	1929	1346
589	1932	1342
590	1934	1339
591	1937	1335
592	1942	1333
593	1944	1329
594	1947	1325
595	1950	1322
596	1953	1318
597	1956	1315
598	1959	1311
599	1962	1308
600	1965	1304
601	1967	1301
602	1971	1298
603	1974	1294
604	1977	1290
605	1979	1287
606	1982	1283
607	1985	1280
608	1989	1277
609	1992	1273
610	1995	1270
611	1998	1266
612	2001	1263
613	2004	1260
614	2007	1256
615	2010	1253
616	2013	1249
617	2016	1246
618	2020	1243
619	2023	1240
620	2025	1236
621	2028	1232
622	2032	1229
623	2035	1226
624	2040	1224
625	2043	1221
626	2054	1222
627	2057	1218
628	2059	1214
629	2064	1212
630	2068	1209
631	2071	1205
632	2073	1202
633	2076	1198
634	2080	1195
635	2083	1192
636	2086	1189
637	2089	1185
638	2091	1181
639	2094	1178
640	2097	1175
641	2100	1171
642	2103	1167
643	2106	1164
644	2109	1160
645	2113	1157
646	2116	1154
647	2118	1151
648	2121	1147
649	2124	1143
650	2128	1140
651	2131	1137
652	2133	1133
653	2136	1130
654	2139	1126
655	2143	1124
656	2146	1120
657	2148	1116
658	2151	1113
659	2154	1109
660	2158	1106
661	2161	1103
662	2163	1099
663	2166	1096
664	2169	1092
665	2173	1089
666	2176	1086
667	2179	1083
668	2182	1079
669	2185	1076
670	2189	1073
671	2192	1069
672	2196	1067
673	2200	1064
674	2203	1060
675	2206	1057
676	2208	1053
677	2213	1051
678	2216	1047
679	2219	1044
680	2221	1040
681	2224	1037
682	2229	1034
683	2231	1031
684	2234	1027
685	2237	1024
686	2241	1021
687	2245	1018
688	2248	1014
689	2250	1011
690	2253	1007
691	2256	1004
692	2260	1001
693	2263	997
694	2265	994
695	2268	990
696	2271	987
697	2275	984
698	2278	981
699	2281	977
700	2284	974
701	2288	971
702	2291	968
703	2294	964
704	2297	961
705	2299	957
706	2303	954
707	2305	951
708	2308	947
709	2311	944
710	2314	940
711	2317	937
712	2320	934
713	2323	930
714	2326	927
715	2329	924
716	2334	921
717	2337	917
718	2339	914
719	2341	910
720	2344	907
721	2347	903
722	2351	900
723	2353	897
724	2356	893
725	2359	890
726	2362	887
727	2365	883
728	2368	880
729	2371	877
730	2374	873
731	2376	870
732	2380	866
733	2383	863
734	2386	860
735	2388	856
736	2391	853
737	2394	850
738	2398	847
739	2401	843
740	2404	840
741	2406	836
742	2409	833
743	2413	830
744	2416	826
745	2418	823
746	2421	820
747	2424	816
748	2428	813
749	2430	810
750	2433	806
751	2436	803
752	2438	799
753	2442	796
754	2445	793
755	2448	790
756	2450	786
757	2453	783
758	2457	780
759	2461	777
760	2465	774
761	2468	771
762	2471	767
763	2476	765
764	2479	761
765	2482	758
766	2485	755
767	2493	753
768	2498	750
769	2501	747
770	2504	743
771	2508	740
772	2510	737
773	2514	734
774	2517	730
775	2524	728
776	2527	725
777	2530	722
778	2532	718
779	2536	715
780	2540	712
781	2543	708
782	2545	705
783	2548	702
784	2551	698
785	2555	695
786	2557	692
787	2560	688
788	2563	685
789	2566	682
790	2569	679
791	2572	675
792	2575	672
793	2578	668
794	2581	665
795	2585	662
796	2587	659
797	2590	655
798	2593	652
799	2597	649
800	2601	646
801	2603	642
802	2606	639
803	2609	636
804	2612	632
805	2616	629
806	2618	626
807	2621	622
808	2623	619
809	2626	616
810	2630	613
811	2633	609
812	2636	606
813	2638	602
814	2641	599
815	2644	596
816	2647	593
817	2650	589
818	2652	586
819	2655	582
820	2658	579
821	2662	576
822	2665	573
823	2668	569
824	2671	566
825	2673	563
826	2678	560
827	2680	556
828	2683	553
829	2686	550
830	2689	546
831	2693	543
832	2696	540
833	2698	537
834	2701	533
835	2704	530
836	2709	527
837	2712	524
838	2715	521
839	2717	517
840	2720	514
841	2725	511
842	2730	508
843	2732	505
844	2735	501
845	2739	498
846	2742	495
847	2745	492
848	2748	488
849	2750	485
850	2754	482
851	2756	478
852	2759	475
853	2762	472
854	2765	468
855	2767	465
856	2771	462
857	2774	459
858	2777	455
859	2779	452
860	2782	449
861	2786	446
862	2789	442
863	2792	439
864	2795	436
865	2799	433
866	2802	429
867	2805	426
868	2808	423
869	2811	420
870	2816	417
871	2820	413
872	2823	410
873	2826	407
874	2829	404
875	2834	401
876	2838	398
877	2841	394
878	2843	391
879	2847	388
880	2851	385
881	2853	381
882	2857	378
883	2861	375
884	2865	372
885	2867	368
886	2870	365
887	2873	362
888	2876	359
889	2879	355
890	2882	352
891	2885	349
892	2888	346
893	2890	342
894	2894	339
895	2897	336
896	2900	333
897	2903	329
898	2905	326
899	2910	323
900	2912	320
901	2915	316
902	2917	313
903	2920	310
904	2924	306
905	2927	303
906	2929	300
907	2932	297
908	2935	293
909	2938	290
910	2941	287
911	2944	284
912	2947	280
913	2949	277
914	2952	274
915	2956	271
916	2958	267
917	2961	264
918	2964	261
919	2966	257
920	2970	254
921	2973	251
922	2976	248
923	2979	245
924	2981	241
925	2986	238
926	2989	235
927	2993	232
928	2996	228
929	3000	225
930	3003	222
931	3005	219
932	3008	216
933	3010	212
934	3013	209
935	3017	206
936	3020	203
937	3023	199
938	3026	196
939	3028	193
940	3032	190
941	3035	186
942	3038	183
943	3041	180
944	3043	177
945	3047	173
946	3050	170
947	3052	167
948	3055	164
949	3058	160
950	3061	157
951	3064	154
952	3067	151
953	3070	148
954	3073	144
955	3076	141
956	3080	138
957	3083	135
958	3086	131
959	3088	128
960	3091	125
961	3095	122
962	3098	119
963	3101	115
964	3104	112
965	3107	109
966	3110	106
967	3113	102
968	3116	99
969	3119	96
970	3124	93
971	3131	90
972	3134	86
973	3136	83
974	3139	80
975	3143	77
976	3148	74
977	3150	70
978	3153	67
979	3156	64
980	3160	61
981	3164	57
982	3167	54
983	3169	51
984	3174	48
985	3177	45
986	3179	41
987	3182	38
988	3185	35
989	3189	32
990	3192	28
991	3195	25
992	3197	22
993	3200	19
994	3203	16
995	3206	12
996	3208	9
997	3211	6
998	3213	3
999	3216	0
